compound_id,smiles,target,activity_type,activity_value,unit,pactivity,label,record_count
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,EGFR,IC50,30984.892947,nM,4.5088,Inactive,2
CHEMBL100714,COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1OC,EGFR,IC50,2800.270595,nM,5.5528,Inactive,1
CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,EGFR,IC50,50909.636952,nM,4.2932,Inactive,2
CHEMBL101253,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,EGFR,IC50,457.720117,nM,6.3394,Active,1
CHEMBL101581,COc1cc2nccc(Oc3cccc(Br)c3)c2cc1OC,EGFR,IC50,2499.769702,nM,5.6021,Inactive,1
CHEMBL1016,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,EGFR,IC50,3277.177768,nM,5.4845,Inactive,1
CHEMBL101683,O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1,EGFR,IC50,7299.615757,nM,5.1367,Inactive,1
CHEMBL102651,C[C@@H](Nc1[nH]cnc2c3ccccc3nc1-2)c1ccccc1,EGFR,IC50,418.986471,nM,6.3778,Active,1
CHEMBL102726,c1ccc(CNc2ncnc3ccccc23)cc1,EGFR,IC50,319.963177,nM,6.4949,Active,1
CHEMBL103014,C[C@@H](Nc1ncnc2c1sc1ccccc12)c1ccccc1,EGFR,IC50,538.021957,nM,6.2692,Active,1
CHEMBL103552,O=C(O)c1cc(N(Cc2ccccc2O)Cc2cc(O)ccc2O)ccc1O,EGFR,IC50,4100.152405,nM,5.3872,Inactive,1
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,EGFR,IC50,3800.143529,nM,5.4202,Inactive,1
CHEMBL103860,O=C(O)c1cc(CCc2cc(O)ccc2O)ccc1O,EGFR,IC50,3299.894079,nM,5.4815,Inactive,1
